# Clasificación MANUAL de los 347 artículos de #REV-TAN que tienen stock.
# Formato:  CODIGO_TEAMPLACE | SKU_DESTINO | nombre (solo referencia)
# Los campos se trimean. Líneas vacías y las que empiezan con "#" se ignoran.
# Lo usa scripts/clasificar-rev-tan.ts  ->  npm run clasif:347 [-- --apply]

# ── Videovigilancia móvil (línea Dahua vehicular / bodycam) ────────────────
N080095  | #SEG-MOV | EXT. CABLE MCNU-GXF4-GXM4-6 NACIONAL
N010394  | #SEG-NVR | NVR5432-16P-I/L NACIONAL
N010369  | #SEG-NVR | NVR5216-16P-I/L NACIONAL
N010393  | #SEG-NVR | NVR5464-4KS2 NACIONAL
N080919  | #SEG-NVR | NVR5216-8P-I/L
N010340  | #SEG-NVR | NVD1805DH-4I-4K NACIONAL
N010433  | #SEG-ALA | MODULO DE MONITOREO TA8604JL-R

# ── CATV / RF coaxial (familia existente #TV-RF) ──────────────────────────
N040139  | #TV-RF   | TAPON SEGURIDAD 75 OHM NACIONAL
N040148  | #TV-RF   | TAPON CARGA 75 OHM - NACIONAL
n020044  | #TV-RF   | MINI CUPLER 12DB NACIONAL
N020043  | #TV-RF   | MINI CUPLER 9DB NACIONAL
N020199  | #TV-RF   | FILTRO PASA ALTOS - HPF-54 NACIONAL
N020409  | #TV-RF   | FILTRO PASA ALTOS PCT-HPFA-102
N020525  | #TV-RF   | FILTRO PASABANDA LTE DE UHF
N020530  | #TV-RF   | BOOSTER UHF 4G REG 19-34DB 12-24VDC
040044   | #TV-RF   | Ecualizador de Linea 9db
N040330  | #TV-RF   | ECUALIZADOR DE LINEA 09DB NACIONAL
N040325  | #TV-RF   | ECUALIZADOR DE LINEA 11DB NACIONAL
N040521  | #TV-RF   | ECUALIZADOR DE LINEA 20DB NACIONAL
N040187  | #TV-RF   | AMPLIFIC. DE LINEA 550 C/RETOR
N040241  | #TV-RF   | AMPLIFIC. DE LINEA VA-860 NACIONAL
N040525  | #TV-RF   | AMPLIFIC. DE LINEA 750
N040034  | #TV-RF   | INSERTOR DE POTENCIA 60/90V - NACIONAL
N040062  | #TV-RF   | CABLE .500 CON PORTANTE NACIONAL
N040546  | #TV-RF   | MODULO SUBTRONCAL MAGNAVOX PHILIPS

# ── Nodos ópticos y transmisores HFC (familia NUEVA) ──────────────────────
N040186  | #TV-HFC  | NODO OPTICO 4 SALIDA - 862Mhz NACIONAL
N040526  | #TV-HFC  | NODO OPTICO 4 SALIDA - 60V/AC (MUESTRA)
N020521  | #TV-HFC  | MICRONODO OPTICO PR7332C
N010688  | #TV-HFC  | MINI NODO OPTICO CON RETORNO
N040549  | #TV-HFC  | NODO CON DESCRIPCION EN PARTIDA
N0450415 | #TV-HFC  | CARCASA DE NODO CON DESCRIPCION EN PARTIDA
N040548  | #TV-HFC  | MODULO CON DESCRIPCION EN PARTIDA
N010076  | #TV-HFC  | TRANSMISOR OPTICO 1550 10db NACIONAL
I010076  | #TV-HFC  | TRANSMISOR OPTICO 1550 10db IMPORTADO
N010694  | #TV-HFC  | TRANSMISOR CATV TUOLIMA
N010429  | #TV-HFC  | MINI MODE DFB MN 870 MHZ 2 MW

# ── Headend: moduladores / receptores (familias existentes) ───────────────
N010795  | #TV-MOD  | MULTIPLEXOR NDS3107C
N060202  | #TV-MOD  | QAM ND530 16 IN 1
N010168  | #TV-RX   | DEMODULADOR TECSYS TS 5605 A - NACIONAL
N010502  | #TV-RX   | ARRIS DSR 4450
N010513  | #TV-RX   | IRD EXO
N010736  | #TV-RX   | GUIA DE ONDA

# ── Decodificadores del abonado (familia existente) ───────────────────────
N020518  | #CPE-STB | JUNUO TV STICK
N020501  | #CPE-STB | DECODER IDS
N020504  | #CPE-STB | DECODER INTEK HD CABLE C/ AV HDM
N020179  | #CPE-STB | IP-TV BOX (muestra) NACIONAL

# ── Fibra óptica (familias existentes) ────────────────────────────────────
N040311  | #FO-CAB  | BITUBO x Mts NACIONAL
N040305  | #FO-CAB  | MONOTUBO x Mts. NACIONAL
N010246  | #FO-CAB  | CABLE DE SERVICIO x15mts NACIONAL
N010104  | #FO-CAB  | CABLE DE SERVICIO x15mts NACIONAL
N010718  | #FO-CAB  | CABLE DE SERVICIO x8mts NACIONAL
N020049  | #FO-CAB  | CABLE DE SERVICIO x10mts NACIONAL
N040147  | #FO-CNX  | ADAPTADORES SC/PC NACIONAL
N010075  | #FO-CNX  | WDM MULTIPLEX OPTICO 1310/1490 NACIONAL
N010287  | #FO-DIS  | SLOT BOX VACIO 1:8 NACIONAL
I010287  | #FO-DIS  | SLOT BOX VACIO 1:8 IMPORTADO

# ── Herrajes de línea / planta externa (familia existente) ────────────────
N040524  | #FO-HER  | TORNIQUETE DOBLE
N040523  | #FO-HER  | TORNIQUETE Nº 7
N040522  | #FO-HER  | TORNIQUETE Nº 3
N040155  | #FO-HER  | TORNIQUETE Nº5 ZINCADO
N0450423 | #FO-HER  | AISLADOR
N040207  | #FO-HER  | AISLADOR MN-20 (202032) NACIONAL
N040302  | #FO-HER  | PRENSACABLE 3/16 METAL NACIONAL
N020306  | #FO-HER  | PITON Nº6 NACIONAL
N081111  | #FO-HER  | BROCHE NEPACO
N040253  | #FO-HER  | GRILLETE-GUARDACABO NACIONAL
N040205  | #FO-HER  | ANCLA DOBLE HELICE GALVANIZADA NACIONAL
N040527  | #FO-HER  | BARRA DE ANCLAJE

# ── Red activa (familias existentes + NUEVAS telefonía/xDSL) ──────────────
020058   | #RED-WIFI | NANO BEAM M5- 16DB NACIONAL
N020052  | #RED-WIFI | UNIFI AP OUTDOOR
N040225  | #RED-WIFI | AP CNPILOT E502S-11AC-30º
N010725  | #RED-WIFI | DCN WL8200-X10 INDOOR AP
N010421  | #RED-SW   | FIREWALL DCFW 1800E N6008 - DCN
N010501  | #RED-DSL  | DSLAN
N010510  | #RED-DSL  | CHASIS MA5603 P/ADSL CON 5 PLACAS
N040504  | #RED-TEL  | EQUIPO DE TRAMA TELEFONICA
N040503  | #RED-TEL  | CENTRAL TELEFONICA ARRIS 2020
N040333  | #RED-TEL  | TERMINAL TELEF. EMERGENCIA NACIONAL
N060201  | #RED-TEL  | PLACA DE CONTESTADOR TELEFONICO

# ── Energía: cables, iluminación, grupos electrógenos (familias NUEVAS) ───
N020212  | #ENE-CAB | CABLE TPR 2x1,5 NACIONAL
N020546  | #ENE-CAB | CABLE TPR 2x 1mm NACIONAL
N081154  | #ENE-CAB | CABLE TPR 3x1,5mm
N081036  | #ENE-CAB | CABLE TPR 3x2,5mm
N081214  | #ENE-CAB | CABLE TPR
N020183  | #ENE-CAB | CABLE INTERLOCK P/C.M. DPQ3925 NACIONAL
N060003  | #ENE-CAB | CABLE INTERLOCK NEGRO NACIONAL
N081093  | #ENE-CAB | ALAMBRE 12
N081094  | #ENE-CAB | ALAMBRE 18/19
N040213  | #ENE-ILU | LAMPARA LED P/CALLE NACIONAL
N081056  | #ENE-ILU | LAMPARA LED
N060220  | #ENE-ILU | REFLECTORES 30W
N081130  | #ENE-ILU | PLAFON P/LISTON LED
N081193  | #ENE-GEN | GRUPO ELECTROGENO
N090102  | #ENE-GEN | GRUPO ELETROGENO 15 KVA

# ── Energía: protección eléctrica / fuentes / rack / clima (existentes) ───
N081236  | #ENE-ELE   | FUSIBLE
N080975  | #ENE-ELE   | FUSIBLE 10 Amp.
N080976  | #ENE-ELE   | PORTA FUSIBLE
N081196  | #ENE-ELE   | JABALINA PUESTA TIERRA
N040326  | #ENE-ELE   | BORNE P/JABALINA 3/4 NACIONAL
N081223  | #ENE-ELE   | CAJA ESTANCO
FUENTES  | #ENE-FTE   | FUENTES DOCSIS
N080920  | #ENE-RACK  | PFM374-L45 CAJA P/BATERIAL SOLAR
N020554  | #ENE-CLIMA | AISLANTE P/CAÑO DE COBRE
N080100  | #ENE-CLIMA | PLAQUETA UNIVERSAL QD-U08PGC+ para A/A.
N080831  | #ENE-CLIMA | ESTUFA/ CALOVENTOR
N081054  | #ENE-CLIMA | VENTILADOR DE PIE

# ── Componentes electrónicos (macro NUEVA #CMP) ───────────────────────────
N081139  | #CMP-ELE | CAPACITOR
N081137  | #CMP-ELE | CAPACITOR 20UF /440V
N081140  | #CMP-ELE | DIODO
N081141  | #CMP-ELE | MOSFET IRF840
N081058  | #CMP-ELE | CIRCUITO INTEGRADO
N080958  | #CMP-CNX | TERMINAL PALA P/CABLE
N080959  | #CMP-CNX | TERMINAL OJAL P/CABLE
N081090  | #CMP-CNX | TERMINAL OJAL GRANDE P/CABLE
N081235  | #CMP-CNX | BORNERA
N080880  | #CMP-CNX | FICHA MACHO
N080960  | #CMP-CNX | FICHA HEMBRA
N020470  | #CMP-CNX | ADAPT. ENCHUFE MIX A REDONDO
N020182  | #CMP-CNX | ADAPT. ENCHUFE MIX A OBLICUO NACIONAL
N080977  | #CMP-SOL | ESTAÑO
N081125  | #CMP-SOL | MALLA DESOLDANTE
N081170  | #CMP-SOL | CONTACFLUX - FLUX
N081160  | #CMP-SOL | GRASA DISIPADORA DE CALOR
N080101  | #CMP-SOL | ELECTRODO 2,5mm P/SOLDAR - PUNTA AZUL
N030200  | #CMP-SOL | VARILLA PARA SOLDAR PLATA
N030201  | #CMP-SOL | PICO PARA SOLDAR GIRATORIO
030177   | #CMP-SOL | GAS BUTANO REPUESTO P/SOPLETE
N030188  | #CMP-SOL | PUNTA PARA SOPLETE AEROSOL
N030196  | #CMP-SOL | GARRAFA P/SOLDADURA REFRIG. 400 G

# ── Cómputo y TI (familias NUEVAS: cables, componentes, periféricos, tinta)
RCA      | #TI-CAB | CABLE RCA A PLUGIN DE 3,5
RCA1     | #TI-CAB | CABLE RCA A RCA
N020439  | #TI-CAB | CABLE PUGIN A PUGIN
N020458  | #TI-CAB | CABLE HDMI
N010689  | #TI-CAB | CABLE HDMI x5mts
N020461  | #TI-CAB | CABLE HDMI x 10 mts
N060082  | #TI-CAB | DH-W-HDMI x 15 mts NACIONAL
N081055  | #TI-CAB | CABLE VGA
N060125  | #TI-CAB | CABLE USB A MINI USB x2mts NACIONAL
I060125  | #TI-CAB | CABLE USB A MINI USB x2mts IMPORTADO
N062269  | #TI-CAB | CABLE USB A a USB B
N062267  | #TI-CAB | CABLE ALARGUE USB MACHO/HEMBRA
N060115  | #TI-CAB | CABLE CONSOLA/USB
N060083  | #TI-CAB | IR-3.5MM-3M CABLE RECP.INFRARO NACIONAL
N060222  | #TI-COMP | COOLER P/PC
N060221  | #TI-COMP | PLACAS PC
N062247  | #TI-COMP | PLACA DE RED PCI
N062268  | #TI-COMP | PLACA DE VIDEO
N062264  | #TI-COMP | PLACA MADRE
N062263  | #TI-COMP | MICRO PROCESADOR INTEL CORE I7
N060067  | #TI-COMP | PLACA HDMI P/PC - 4 SALIDAS NACIONAL
N062262  | #TI-ALM  | PEN DRIVE 16 GB
N060226  | #TI-ALM  | DISCOS RIGIDOS P/PC
N060069  | #TI-PC   | PC EXO READY C2-V5448-i5 NACIONAL
090301   | #TI-PC   | EQUIPOS CELULARES
090006   | #TI-PER  | Parlante p/PC
090304   | #TI-PER  | VINCHA AURICULAR
N081169  | #TI-PER  | AURICULAR
N081145  | #TI-PER  | MICROFONO P/PODCASTS
N081190  | #TI-PER  | INTERFAZ AUDIO AI-MICRO 2 CANALES 3,5mm
N060238  | #TI-PER  | HUB USB x4 PUERTOS
N062271  | #TI-INS  | TINTA EPSON 544
N060234  | #TI-INS  | TINTA EPSON 664 - NEGRA
N060237  | #TI-INS  | TINTA EPSON 664 - AMARILLO
N060235  | #TI-INS  | TINTA EPSON 664 - CIAN
N060236  | #TI-INS  | TINTA EPSON 664 - MAGENTA
N062256  | #TI-INS  | DRUM ALT

# ── Herramientas (familia existente #HER-TOOL) ────────────────────────────
090313   | #HER-TOOL | ALICATE DE CORTE OBLICUO 6"
090310   | #HER-TOOL | ALICATE DE CORTE OBLICUO
030148   | #HER-TOOL | CUTTER TRAPEZOIDAL 19mm
N030203  | #HER-TOOL | CUTTER COMUN 18mm
N081184  | #HER-TOOL | CUTER TRINCHETA
N030204  | #HER-TOOL | REPUESTO FILO CUTTER 18mm
N030181  | #HER-TOOL | REPUESTO FILO CUTTER TRAPEZOIDAL X 10 UN.
N030306  | #HER-TOOL | MACHETE TIPO CIRIRI-20"
N030185  | #HER-TOOL | TIJERA PARA OJALATA
N030170  | #HER-TOOL | LIMA DE METAL
N030369  | #HER-TOOL | ESPATULA
N030168  | #HER-TOOL | JUEGO DE LLAVER TORX
N030169  | #HER-TOOL | JUEGO DE LLAVES T (11, 12, 13 Y 14)
N030412  | #HER-TOOL | KIT DE PINZAS
N030411  | #HER-TOOL | KIT DESTORNILLADORES
N030407  | #HER-TOOL | MANGO CRIQUE
030137   | #HER-TOOL | ROTOMARTILLO
N030097  | #HER-TOOL | MOTOSIERRA PROFESIONAL NACIONAL
N030372  | #HER-TOOL | DESMALEZADORA
N081203  | #HER-TOOL | HIDROLAVADORA
N030408  | #HER-TOOL | MALACATE
N030167  | #HER-TOOL | DEVANADORA
N030037  | #HER-TOOL | ZUNCHADORA NACIONAL
N030039  | #HER-TOOL | PASTECA SIMPLE NACIONAL
N030141  | #HER-TOOL | PORTA BOBINA CHICO
N030182  | #HER-TOOL | MORDAZA TIPO PEINE UNIVERSAL
N030199  | #HER-TOOL | PUNZON EXPANSOR
N030063  | #HER-TOOL | PELADORA .500 NACIONAL
030067   | #HER-TOOL | peladora de vaina acs/acs-2
N030195  | #HER-TOOL | BOMBA VACIO 70 LTS/M
N030198  | #HER-TOOL | MANOMETRO/MANIFOLD CUERPO DE BRONCE
030184   | #HER-TOOL | BUSCAPOLO SIN CONTACTO - VIRU-VIRU
N030400  | #HER-TOOL | CORTA VIDRIO
N030089  | #HER-TOOL | ZAPATA MOVIL P/ESC. EXTEN. NACIONAL
N030312  | #HER-INS  | MESA PLEGABLE PARA FUSIONAR

# ── EPP y seguridad e higiene (existente + familia NUEVA #HER-SEG) ────────
N081073  | #HER-EPP | BARBIJO DESCARTABLES
N080957  | #HER-EPP | BOTIN DE SEGURIDAD (PAR)
N080108  | #HER-EPP | GAFAS OSCURAS DE SEGURIDAD
N030095  | #HER-EPP | Antiparras FRAVIDA NACIONAL
N080868  | #HER-EPP | DELANTAL CUERO DESCARNE
N030325  | #HER-EPP | VIDRIO OSCURO MASCARA SOLDAR
N030326  | #HER-EPP | VIDRIO TRANSPARENTE MASCARA SOLDAR
N081071  | #HER-EPP | ELEMENTO DE AMARRE CODIGO 1015
N081066  | #HER-EPP | ELEMENTO DE AMARRE ANTICAIDA 3008/2
N081065  | #HER-EPP | ELEMENTO DE AMARRE ANTICAIDA 3001/2
N081064  | #HER-EPP | ELEMENTO DE AMARRE 1004
N080965  | #HER-SEG | MATAFUEGOS
N081072  | #HER-SEG | BOTIQUIN
030145   | #HER-SEG | CONO SEGURIDAD VIAL
N080107  | #HER-SEG | BANDERA DE PELIGRO
N081171  | #HER-SEG | TOTEM DE EMERGENCIA

# ── Insumos y ferretería (familias existentes) ────────────────────────────
N080888  | #INS-FIJ  | TIRAFONDO Nº10
N081030  | #INS-FIJ  | TIRAFONDO
N080928  | #INS-FIJ  | REMACHE POP
N081164  | #INS-FIJ  | VARILLA ROSCADA
PASACABLESP | #INS-FIJ | PASACABLE PLASTICO
N080940  | #INS-CONS | FILM STRETCH SIN CONO
N081163  | #INS-CONS | FILM STRETCH 10cm
N080828  | #INS-CONS | ESTOPA
N080961  | #INS-CONS | PALLET ARLOG
030147   | #INS-CONS | DISPENSADOR DE ACOHOL ISIPROP.
N030397  | #INS-CONS | KIT DE LIMPIEZA P/CELULARES
N081219  | #INS-CONS | FUNDA BOLSO DE PROTECCION

# ── Obra, materiales e infraestructura (macro NUEVA #OBR) ─────────────────
N080882  | #OBR-MET | CAÑO ESTRUC. 15x15x1,6
N080881  | #OBR-MET | CAÑO ESTRUC. 100x20x1,6
N080827  | #OBR-MET | CAÑO ESTRUC. 100x100x1,6
N080946  | #OBR-MET | CAÑO ESTRUC. 2"x1,6mm
N081132  | #OBR-MET | CAÑO
N080863  | #OBR-MET | PLANCHUELA 1/2 X 3/16
N080951  | #OBR-MET | MOLDURA MADERA x3mts
N080989  | #OBR-MET | Conjunto de tablilla metalicas de 2300x1000mm
N020522  | #OBR-MET | MASTIL DE 2 MTS
N020529  | #OBR-MET | MASTIL DE 3 MTS
N081046  | #OBR-PIN | PINTURA
N080867  | #OBR-PIN | PINTURA SINTETICA VERDE JHON DHEERE
N081074  | #OBR-PIN | AEROSOL PINTURA AZUL 440 CM.TERSUAVE
N081075  | #OBR-PIN | AEROSOL PINTURA BLANCA 440 CM.TERSUAVE
N080998  | #OBR-PIN | BARNIZ
N030341  | #OBR-PIN | TINER / THINNER
N081220  | #OBR-PIN | KEROSENE
N030335  | #OBR-PIN | CONVERTIDOR DE OXIDO
N081138  | #OBR-PIN | SELLADOR
N080983  | #OBR-PIN | SELLAROSCA
N081217  | #OBR-PIN | PEGAMENTO
N030331  | #OBR-PIN | PINCEL CHICO
N030332  | #OBR-PIN | PINCEL MEDIANO
N081162  | #OBR-PIN | CEPILLO
N081204  | #OBR-PIN | LIJA
N080886  | #OBR-PIN | LIJA A AGUA 120 GR
N020552  | #OBR-VAR | MANGUERA
N080922  | #OBR-VAR | MANGUERA ½"
N080980  | #OBR-VAR | UNION 1/2"
N081101  | #OBR-VAR | MEDIA SOMBRA
N081211  | #OBR-VAR | TANZA
N081057  | #OBR-VAR | MEMBRANA IMPERMEABLE
N080823  | #OBR-VAR | BRAZO HIDRAULICO P/PUERTA

# ── Vehículos (macro NUEVA #VEH) ──────────────────────────────────────────
N081178  | #VEH-REP | NEUMATICO - CUBIERTAS
N081047  | #VEH-REP | KIT AUXILIO P/AUTOMOVIL

# ── Oficina: papelería (macro NUEVA #OFI) ─────────────────────────────────
N080846  | #OFI-PAP | FOLIO A4
N080845  | #OFI-PAP | FOLIO OFICIO
N080847  | #OFI-PAP | SOBRE OFICIO INGLES
N081102  | #OFI-PAP | SOBRE
N080988  | #OFI-PAP | RESMAS
N081126  | #OFI-PAP | ROLLO PAPEL P/FAX
N050107  | #OFI-PAP | LAPICERAS
N080848  | #OFI-PAP | LAPIZ NEGRO
N081104  | #OFI-PAP | MINA LAPIZ
N081183  | #OFI-PAP | SACAPUNTAS
N081182  | #OFI-PAP | GOMA P/BORRAR
N080809  | #OFI-PAP | CORRECTOR LIQUIDO
N081107  | #OFI-PAP | REGLA
N080808  | #OFI-PAP | POST IT
N080840  | #OFI-PAP | CUADERNO CHICO
N080839  | #OFI-PAP | CUADERNO GRANDE
N081105  | #OFI-PAP | CARPETA
N080985  | #OFI-PAP | BIBLIORATO
N080859  | #OFI-PAP | CAJA ARCHIVO OFICIO/LEGAL
N081095  | #OFI-PAP | BROCHES
N080850  | #OFI-PAP | BROCHES 10/50
N081092  | #OFI-PAP | CLIP
N050105  | #OFI-PAP | ABROCHADORA
N080810  | #OFI-PAP | PERFORADOR MEDIANO
N080963  | #OFI-PAP | TIJERA
N080849  | #OFI-PAP | GOMILLAS
N081114  | #OFI-PAP | PEGAMENTO EN BARRA
N080841  | #OFI-PAP | MARCADOR RESALTADOR
N080842  | #OFI-PAP | MARCADOR AL AGUA
N080843  | #OFI-PAP | MARCADOR INDELEBLE
N080844  | #OFI-PAP | MARCADOR PARA PIZZARRA
N030102  | #OFI-PAP | MARCADOR AL ACEITE PUNTA REDONDA COLOR BLANCO
N030101  | #OFI-PAP | MARCADOR AL ACEITE PUNTA REDONDA COLOR NEGRO
N080964  | #OFI-PAP | BORRADOR PIZZARRA VIDRIO
N081115  | #OFI-PAP | TINTA P/SELLOS
N081109  | #OFI-PAP | CARBONICO
N080984  | #OFI-PAP | RECIBOS USARES 1825 CARBONICO QUIMICO
N030099  | #OFI-PAP | LETROGRAFO PLASTICO X 30 MM

# ── Oficina: mobiliario y equipamiento ────────────────────────────────────
090201   | #OFI-MOB | Sillas
N090108  | #OFI-MOB | Sillas de oficina
090306   | #OFI-MOB | SILLA DE ESCRITORIO ROYAL DESIGN
N090101  | #OFI-MOB | ESCRITORIO 1,4-1,5 MTS
N090100  | #OFI-MOB | ESCRITORIO 1 MTS
N090103  | #OFI-MOB | ESCRITORIO EN L 120 x 120
N020400  | #OFI-MOB | mesa en L con cajones 150 x 150
N060223  | #OFI-EQU | TELEFONO FIJO
N080903  | #OFI-EQU | HORNO MICROONDAS
N080987  | #OFI-EQU | TV LED
N062242  | #OFI-EQU | TV 32"
N010682  | #OFI-EQU | DVD NOBLEX DVH1700
N010775  | #OFI-EQU | REPRODUCTO DVD - USB
N081165  | #OFI-EQU | CONTADORA DE BILLETES
N090106  | #OFI-EQU | maquina de contar

# ── Placeholder sin descripción real (queda bajo #REV para corregir) ──────
N081096  | #REV-PLA | ARTICULO C/DESCRIPCION EN PARTIDA
